region,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.186,84.196,84.206,84.215,84.256,84.282,84.283,84.287,84.295,84.299,84.304,84.318,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.370,84.371,84.374,84.377
maine,0,52873894,1458465,198140,2742615,113540,0,0,0,0,6661296,1419679,170507,0,6299394,0,0,0,5561458,0,0,0,1306243,84000,0,0,0,0,0,3217743,0,0,724271,890416,13773041,0,3909442,0,0,0,0
maryland,0,191810568,438644,1129038,7154768,74063,427318,0,0,0,3903439,4410413,783542,0,5219926,0,18162528,0,15008669,0,0,0,3468224,1174188,0,449649,335086,0,0,0,0,0,9406499,1746187,41151474,0,7331511,0,0,3441372,0
massachusetts,241680,244146248,1617022,2142637,703003,72211,0,0,0,10283395,9004432,5340171,1028656,0,34413871,0,0,0,18263153,0,0,0,4284801,1530829,1597917,3780494,795500,0,0,1429218,0,1308679,11839113,2387083,51600559,0,7665358,0,0,3368526,0
michigan,742585,554960109,8712212,394779,7075632,2912356,455808,0,1548267,16217761,16532250,10793573,2170723,0,12350872,0,20865663,0,42042306,0,498329,0,9938561,390174,0,0,1576487,0,0,4612222,0,0,10927358,5821453,112425075,0,10889892,0,945052,0,0
minnesota,249730,140233611,3302557,248418,17168090,3361038,0,76923,0,22496201,8772486,3935361,636047,83072,5100998,0,0,0,10053895,0,4522862,0,2490696,985369,0,0,1429142,0,0,3570791,0,0,7922699,1749902,38582937,1270917,7006812,0,0,0,0
mississippi,0,198545331,935504,745107,525218,48686,472080,0,0,6200062,10891639,3404593,826642,0,6169363,0,0,0,14636535,0,0,0,3460474,926766,0,1486053,0,0,0,5898286,0,920969,1573958,2509247,42542475,0,5440764,0,0,0,0
missouri,0,230703050,1535671,1379328,21398813,72788,423228,76923,0,0,7692070,5169062,971369,0,7211058,0,3090997,0,17986187,0,0,0,3375863,154827,668871,0,0,0,0,8037060,0,0,5014363,3032996,50699669,0,7569472,0,0,0,0
montana,0,45700902,1134356,106311,46165098,3328195,0,76923,0,0,4737537,1399984,162636,0,1265228,0,0,0,5561458,0,4886360,0,1306142,25836,2198541,0,0,0,0,5362141,0,0,899918,890416,13986101,0,3711984,0,0,0,0
nebraska,0,68008361,5113950,471019,19752783,815601,0,76923,0,0,2821680,1423348,211514,0,2483818,0,0,0,5561458,0,408178,0,1306243,19992,0,0,0,0,0,4446063,0,0,2667560,890416,14263044,0,4407939,0,0,0,0
nevada,0,92552640,267380,320469,4070402,727836,0,153846,0,0,269636,1417327,481626,0,4601154,0,80403,0,6550931,0,0,0,1722636,256830,0,0,267132,0,0,87779,0,0,8030369,1169537,15805718,0,5095238,0,0,0,0
new hampshire,0,39848107,156510,447748,15607,0,0,153846,0,0,895739,1291596,175724,0,698568,0,0,22300791,5561458,0,0,0,1305512,18746,0,0,806209,0,0,2357700,0,0,785653,890416,13966326,0,3974956,0,0,0,0
new jersey,0,285748899,1852322,2628913,17248718,58974,0,76923,0,0,6075793,6940699,831386,0,11203985,0,0,11888993,22382040,0,0,0,4869241,329392,2407478,1837589,1155634,0,0,2136442,0,0,18324110,2908426,64530954,0,9662547,0,0,0,0
new mexico,0,118076859,1058372,253013,102385089,7280437,828260,17465,421994,0,14339850,2226011,506452,0,4065301,0,10105266,0,9018926,0,1052082,0,2092317,98800,2923389,3809125,0,0,0,2036432,0,649001,5686958,1481848,22944819,0,4583311,0,0,1963731,0
new york,635049,1245205953,10976303,2953982,22560382,1771322,1693968,76923,0,39592891,33151733,22303963,5673914,183800,68414974,0,0,0,93522571,0,0,7880100,22622642,4132533,1525745,14272049,9486609,8262977,0,3304170,0,3467464,49792612,10864164,232067191,0,17305137,0,782461,7654003,41336141
north carolina,0,371117544,5055766,1036508,14668140,3560623,0,76923,0,26017773,16231836,6508707,1499758,0,9710871,0,165535,0,28947665,0,479872,0,6650372,1062065,1063855,7277588,1042875,0,0,6132147,0,461792,14334922,5188797,67878296,0,10112747,0,0,1658052,0
north dakota,0,35641978,266301,69671,28996398,1641283,0,153846,0,0,971243,1186422,162602,0,2623332,0,0,0,5561458,0,945805,0,1306220,0,0,0,0,0,0,687108,0,0,540916,890416,13839827,0,3452253,0,0,0,0
northern mariana islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ohio,0,548168365,3107759,2191605,2695069,0,0,76923,0,9675739,12857888,10488332,1769040,0,21516313,0,48817500,0,40677990,0,0,0,9716155,232274,1957507,6294816,0,0,0,4582995,0,0,7937616,6098332,108238767,0,11882258,0,0,2654917,0
oklahoma,0,161384423,1891149,300738,40423253,24120615,0,76923,0,9996040,5344204,3497685,720827,0,5542059,0,229000,6782451,11923433,0,3738938,0,2854887,989839,0,0,0,0,0,11136325,0,0,4124508,2298304,34251832,0,5859167,0,0,449783,0
oregon,968361,138638644,7929215,1021422,3307812,2072287,1226190,0,1960126,0,14960993,2674268,948717,0,6837184,0,0,5284308,11260189,0,1215858,0,2445105,173322,0,0,0,0,0,2708674,0,0,8068147,1733440,28645653,0,5790331,0,0,0,0
palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pennsylvania,0,576937709,9129212,1314892,3236261,0,0,76923,420000,7293745,11773970,11245810,1719278,446373,14503701,0,0,0,44923027,0,399979,0,10299869,276619,0,4408538,1370317,0,0,1206935,0,1098452,12756292,5536748,114955621,1815720,12051777,0,0,4678322,0
puerto rico,0,534235622,0,533167,0,0,1259912,0,0,0,0,7066382,1355755,0,0,0,0,0,41498195,0,0,0,9792135,0,0,0,0,0,0,0,0,0,0,7351085,91402908,0,6321855,0,0,0,11379525
rhode island,561314,52238536,0,728349,2809092,0,0,0,0,0,1249636,941742,162473,0,1162871,0,575995,0,5561458,0,0,0,1306243,28138,3254858,0,0,0,0,89320,0,0,1926672,890416,13921704,0,3749371,0,0,0,0
