region,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.186,84.196,84.206,84.215,84.282,84.287,84.299,84.304,84.318,84.330,84.336,84.349,84.350,84.351,84.354,84.356,84.358,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.374
alabama,0,194251412,2119617,919897,2733849,1743708,0,0,0,0,1405420,5113929,925576,0,1919226,0,14799892,0,0,3908204,0,0,0,0,0,0,0,5786179,0,0,3292640,3100255,45923555,0,6416803,0
alaska,0,34024598,7008330,263142,92484427,9058855,0,0,0,0,2679972,1681535,161901,0,4782980,0,4807715,0,0,1317349,363694,0,0,0,463254,0,14002602,125883,0,0,723193,906246,13751559,0,3584250,2278773
american samoa,0,0,0,0,0,0,0,0,0,0,0,900459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arizona,696046,263204306,6606205,1774916,159156717,8950845,0,0,0,0,6642856,5561230,1245604,533099,535911,1487677,19312777,584463,0,5290464,1239876,0,0,0,1230376,0,0,3172396,0,0,19762263,4144844,48405610,0,8092906,4700840
arkansas,0,122018287,5299097,233042,525342,289041,0,86580,0,0,1614249,3197958,575188,0,877347,0,9246706,0,0,2428622,0,0,0,0,691084,0,0,4848472,0,0,2721139,1839344,27677283,0,5211165,0
california,0,1643496281,130400360,2523695,64394014,5468249,0,0,1648878,0,50674090,41539958,7724532,243849,25465178,87940,127685271,0,4527288,32823516,4099257,8146553,0,0,3389146,5e+06,0,7515920,0,1951410,169943708,23634838,331226040,0,33417004,3508789
colorado,598461,123915725,7692971,511723,15658223,691362,0,86580,0,0,2264288,3762717,584226,229549,2716177,0,9545174,309704,0,2468711,120000,0,0,0,0,0,0,2233338,0,0,9861486,1820120,32112137,0,6675248,11600062
connecticut,0,111789953,107,1158685,4821198,0,0,0,0,0,623099,3381175,516324,0,2093189,0,7029437,0,0,2232778,932658,0,0,0,496035,0,0,1148626,0,0,5483403,1232559,26343066,758052,5731043,0
delaware,0,33590030,305900,437144,73736,0,0,0,0,0,0,1670608,145906,0,262467,2263158,4803283,0,0,1312456,30157,0,0,0,0,0,0,104850,0,0,1351707,863918,13553006,0,3650860,0
district of columbia,0,46025737,0,123012,1296985,0,0,0,0,0,5991705,1517300,97878,0,15313797,-2988609,3751464,0,0,447546,0,0,9179267,0,0,0,0,0,0,0,548760,680444,13409965,0,3354700,0
florida,856293,589157126,23421085,1253956,8940677,41938,0,0,0,2999557,6979637,16379842,2781108,0,23756925,25280315,48863242,0,2031369,11729221,1285329,0,0,0,482541,0,0,1448736,0,2259946,40859272,8622259,129262798,0,15862897,12375763
georgia,0,410011148,8544904,1265473,20279144,0,0,0,0,0,2483468,8513314,1965729,0,7796664,0,30787858,0,0,8281479,0,0,2730545,0,681651,0,0,7287866,0,900020,15192009,5011155,77833585,0,10778365,0
guam,0,0,0,0,51365,0,0,0,0,0,0,238971,0,0,0,0,0,0,0,0,0,2729431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hawaii,0,39638957,762889,234975,37655928,0,0,173159,0,0,0,2979159,175183,0,2685183,0,4807715,0,0,1317349,14816,0,0,0,0,0,0,0,34070262,534244,2589790,906246,13704267,0,3935239,0
idaho,0,41327392,4177850,263142,6264779,388683,0,0,0,0,2178315,1681535,196533,0,1498598,2792564,4807715,0,0,1316090,25757,0,0,0,0,0,0,927436,0,0,1832842,906246,13732971,0,4248333,0
illinois,0,592602488,1857956,1283096,20444473,101955,0,85939,0,0,9312290,13737088,2841103,0,9589401,164957,40160724,0,0,11990191,2563241,10414826,0,0,2507611,1e+07,0,6481118,0,3496594,27580757,5979739,117853869,1890401,13328809,2186873
indiana,0,230085248,5227473,1009752,416260,0,0,0,0,0,7033257,5482765,1107809,0,1784569,0,13728498,0,0,4666736,66356,1271092,0,0,0,0,0,553165,0,0,6612576,2998428,48853482,0,8087727,0
iowa,0,69213583,1722719,498886,742215,235077,0,0,0,0,2700593,2683536,329630,487360,5253176,0,4807715,0,0,1395741,711526,5973057,0,0,0,0,0,4437976,0,0,2535476,802661,21891201,1238760,5299222,0
kansas,750823,88049284,11892711,337833,21521478,1079906,0,0,0,0,353899,2776959,420457,0,98747,0,5985739,0,0,1778982,1000,0,0,0,0,0,0,3879286,0,0,3407085,1145182,22416590,0,5226439,0
