region,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.186,84.196,84.206,84.215,84.256,84.282,84.283,84.287,84.295,84.299,84.318,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.360,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.370,84.371,84.374,84.377,84.411,84.415,84.416
louisiana,0,289621679,2461968,1710437,9407219,923536,447313,0,0,-161483,2238081,-29210,1249686,0,2266907,0,334565,0,22296160,0,0,-12,281745,0,948269,347672,0,0,2752425,0,0,0,2998042,2589629,52149044,0,6100061,0,24745628,6678510,9061745,0,0,0
maine,0,50301130,1061215,122018,1441374,137435,285829,0,0,0,0,0,162848,0,1016868,0,414788,0,5638763,0,0,0,83961,0,0,360946,0,0,2217064,0,0,0,1072178,743556,10868733,0,3756262,0,-218,5676403,1707898,11878887,0,0
maryland,626313,187529171,503469,1447837,5670113,80184,0,0,0,0,0,0,899065,0,373466,0,125360,0,15564175,0,0,0,635077,0,0,0,0,0,213020,0,0,0,10202161,1516049,33308432,0,6765904,0,0,377784,6635534,2969722,0,0
massachusetts,0,213983971,1603479,2382234,498160,61034,0,60000,0,3850000,1487476,-91089,961809,0,6226940,0,3534341,0,16862043,0,320465,0,672919,828368,0,999526,3930392,0,410242,3383342,0,1004233,15847707,1759808,41180598,0,6962762,0,0,175694,7245728,2375777,0,0
michigan,0,531291425,8525624,798702,7368351,1476545,474000,60000,841386,3407436,2645476,-4968,2234452,0,2121092,0,8836191,0,39097018,0,256562,0,639367,0,0,1036231,0,0,4143922,1,0,1629489,11578728,4615712,91593541,0,9444433,0,-514,5599431,18796716,0,0,0
minnesota,0,150553610,1520441,420295,18562893,2978955,0,24240,0,0,356914,-125044,647502,304364,7832225,0,6424200,0,11661389,0,838504,0,0,0,220330,276475,0,0,2414995,0,0,609622,8323350,1461299,31188408,0,6588787,0,0,0,6924060,0,0,0
mississippi,0,179471480,1030230,911240,1182348,467928,0,53986,0,1572156,-2962,0,522332,0,7324348,0,0,0,13037093,0,0,-69,54287,0,852875,0,8e+06,0,4868451,0,0,416508,1455333,1691481,32628392,0,5074756,0,0,1,4950650,0,0,1e+07
missouri,0,232503810,1510887,1547116,24701381,64203,432037,60000,424201,0,1163647,0,1046820,0,831909,0,-227783,0,17669591,0,0,0,188048,0,0,0,0,0,7564275,1215616,0,444898,6043358,2518642,39558400,0,6933662,0,0,2,7549570,0,0,0
montana,0,44508592,1002297,110865,41432831,2696945,0,120000,0,0,1e+06,0,195907,0,520993,0,0,0,5638763,0,2176609,0,4604,0,0,0,0,985120,2535552,0,0,0,1235060,744842,10794347,0,3626971,0,4977226,0,2986686,0,0,0
nebraska,0,68605238,5071134,377072,11563749,867306,0,37751,0,0,1327431,-13399,313327,0,1774039,0,0,0,5638763,0,972618,0,5331,0,0,0,0,0,3274598,827427,0,0,3183555,744842,11145666,0,4287736,0,0,0,2459357,0,0,0
nevada,0,107727236,124655,400995,2767158,658553,0,85034,0,0,2657341,0,526193,0,-107114,0,-292739,0,8799115,0,0,0,435616,0,0,235955,0,0,239257,3448348,0,0,7552940,1247015,11439253,0,4862741,0,12430601,5269132,3734565,0,0,0
new hampshire,0,41308687,145591,523599,1995,0,0,120000,0,0,450211,-9228,189363,0,395469,0,2445077,3415015,5638763,0,0,0,30399,0,0,0,0,0,1471867,0,0,0,1453108,744842,10861325,0,3791709,0,0,0,1374971,0,0,0
new jersey,0,295953258,1953483,1652495,14298657,0,0,60000,0,0,1532350,-849237,1363440,0,1255841,0,3948781,4255345,22273861,0,0,0,585366,1421478,-141118,0,0,0,1430958,0,0,1678329,21640610,2562663,52297549,0,8737151,0,0,10088343,11008129,0,0,0
new mexico,0,115253054,917065,337939,79652930,6478021,1203341,61910,1593098,0,244050,-950902,482888,0,6356926,0,0,0,8824177,0,593204,0,46240,0,-357071,0,0,0,1288576,0,0,784474,5612656,1211047,18111652,0,4421169,0,0,0,3763026,0,0,0
new york,575115,1116505241,9840386,2784956,42432902,1856092,0,26842,424147,5938997,2133589,-481043,4847085,0,14025151,0,30786749,0,84646136,6102592,95969,0,2574137,2357699,72414,3618326,0,0,3053867,975217,0,2520745,62451427,8085104,195456602,0,14815647,0,0,27458578,39225111,29447799,0,0
north carolina,0,400049626,5582317,746754,15272430,3256803,474232,25638,0,3254917,747987,0,1778897,267440,7297060,0,594864,0,31747898,0,86926,0,759099,3215055,1634507,0,0,0,6737930,0,0,1104646,14568187,4646423,49876917,0,9447812,0,0,-167647,15639454,2969641,0,0
north dakota,0,33590632,232785,103591,22673816,1474584,0,120000,0,0,162804,-1139,162605,0,733718,0,0,0,5638763,0,1269140,0,0,0,0,0,0,0,350063,0,0,0,1396156,744842,10759137,0,3438975,0,0,0,1112652,0,0,0
northern mariana islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146980,0,0,0,0,0
ohio,0,578340754,2641649,1037007,1885494,0,0,0,0,0,944639,-144938,2525315,0,4817690,0,1426774,0,45228315,0,0,0,349518,0,529919,444050,0,0,4534187,0,0,0,10488333,-3154089,86122160,0,10548704,0,0,2450731,19997445,0,0,0
oklahoma,0,155061337,1527328,353792,33946394,23246740,0,60000,0,0,591655,0,687105,0,7246346,0,0,3540336,11618667,0,2010953,0,-77221,0,0,0,0,0,9859147,0,0,861026,5568271,1790153,26285979,0,5630081,0,0,0,4962647,0,750000,0
oregon,687362,151437007,10200314,1378559,2090306,1398392,922598,60000,906402,0,-674504,0,657555,0,767019,0,704983,1783148,12239435,0,682809,0,198258,0,0,867312,0,0,2379353,3524637,0,0,8085021,1533345,22258492,2806724,5418287,0,0,2,5543711,0,344544,0
palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pennsylvania,0,557111349,9016524,514470,2476747,0,0,60000,0,0,2742377,0,2452072,0,3920863,0,2409482,1322786,37925762,0,-32964,0,596608,438823,0,0,0,0,1688040,2347203,0,742735,16211779,4335338,93329949,-47184,10705658,0,33134527,2479928,18398298,2968816,0,0
puerto rico,0,464707904,0,627775,9535,0,470493,0,0,0,0,0,1654024,0,0,0,0,0,30802233,0,0,0,0,0,0,0,0,0,0,0,0,349819,3186959,4209767,70332354,0,5368729,0,0,0,13013318,0,0,0
rhode island,542102,48981002,0,498308,1582062,0,0,0,0,0,-1073,0,213020,0,503190,0,429400,0,5638763,0,0,0,74057,0,0,0,0,0,33757,0,0,0,3450605,663015,10766346,0,3614047,0,0,0,3249275,2969722,0,0
south carolina,0,214677752,558678,1569084,1350175,18405,0,120000,0,4771751,826636,0,964324,471740,2628857,0,5255675,0,16936197,0,0,0,-1281,0,0,0,0,0,2324811,0,0,749957,3612291,1915590,28203518,0,6034426,0,-21,12287402,7211923,0,0,0
south dakota,0,42906718,833013,163936,52150973,3340953,0,120000,0,0,-75253,0,187144,0,658865,0,0,0,5638763,0,648282,0,7513,0,0,0,0,0,776682,0,0,0,1193518,744842,8132917,0,3570300,0,0,0,1443618,0,0,0
tennessee,0,276057988,572366,545827,3491612,0,0,120000,0,0,2881637,0,1253754,0,1126552,0,3112402,0,21812885,0,0,0,67516,495798,0,0,0,0,4598156,0,0,630099,6062058,1644026,38977994,0,7207273,0,0,8864562,9236052,0,0,0
texas,696053,1355078627,58674033,2119373,95262495,493239,3002283,60000,1274954,7548979,4009737,0,5829317,0,14690745,0,11900232,8907039,106336064,0,247866,0,2755457,644862,2496950,664613,0,0,11763587,2486097,0,790105,107485322,14820988,187739235,0,22656446,0,57979212,29404366,46863406,0,0,29999782
us virgin islands,0,0,0,0,1144,0,0,0,0,0,745384,0,0,0,-3388,999864,0,0,0,0,0,0,16745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163699,0,0,0,0,0
utah,0,88892117,1817138,1037310,8494089,1339565,0,-8645,0,0,1223064,0,402330,0,1554625,0,139479,0,7201188,0,0,0,0,0,0,0,0,0,647631,0,0,956413,4505330,1083965,14891003,-222574,5476619,0,0,0,3127799,11439348,0,0
vermont,0,33230417,631082,210874,475535,218810,0,120000,0,0,-24927,-14123,162605,0,394045,0,0,0,5638763,0,0,0,29928,0,0,0,0,0,3068,0,0,0,495777,744842,10868733,0,3355365,0,0,0,0,0,0,0
virginia,0,228486713,790242,1261618,35001700,11594,0,120000,0,0,675626,-63495,1043882,694847,387883,0,-457,2255838,17755595,0,0,0,358608,571815,0,0,0,0,2055024,0,0,593137,12263478,2322452,45721892,-1,8211318,0,0,1,7611296,2962025,0,0
washington,0,214343931,15037883,1462486,38712369,3480729,1894516,60000,2963663,0,1613555,0,961986,0,2672026,0,1122606,0,16764949,0,1173101,0,591293,0,0,614096,0,0,2391307,2964531,0,0,17897661,2305524,37529724,0,7435855,0,-63820,646794,7622753,0,0,0
west virginia,0,92558089,-298,1003209,10993,0,0,0,0,0,0,0,394101,0,0,0,0,-80707,7459768,0,0,0,62693,0,0,0,0,0,2412049,0,0,800229,679738,772547,19719536,0,4076943,0,0,0,3133223,0,0,0
wisconsin,0,218499388,632255,1361626,12044867,1548253,460572,120000,0,0,3722464,0,928506,0,6054658,0,0,0,17076430,0,572239,0,0,0,0,315998,0,0,1743742,0,0,0,8961033,1929961,37826974,0,6712469,0,0,0,7267182,0,0,0
wyoming,0,33676491,231901,671064,15721910,720863,0,0,0,0,211228,0,162438,0,112281,0,0,0,5609051,0,268425,0,0,0,0,0,0,0,56667,0,0,0,499496,709998,10844347,0,3161970,0,0,0,1132068,0,0,0
