region,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.196,84.215,84.256,84.282,84.283,84.287,84.295,84.299,84.304,84.318,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.360,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.370,84.371,84.374,84.377
maryland,642347,45148193,524272,1514231,6041216,74020,446265,133333,0,0,3077302,826898,3255841,0,375000,0,14003620,0,0,0,0,1053118,0,279830,446311,0,0,103521,0,0,0,10081381,1618199,10521959,0,6981686,0,0,416989,6759365
massachusetts,0,59072520,1669739,2682418,502063,77497,0,66666,0,4925625,3725232,955551,9954861,0,1575562,0,16514111,0,299196,0,0,1444168,0,2664999,0,0,0,1027348,3838855,0,741399,12969911,2061460,13245609,0,7236907,0,150000,895646,8023626
michigan,0,134022275,8877908,351720,7861866,2574807,472577,0,424367,0,8647504,2391894,4358596,0,4739943,0,40417309,0,257553,0,0,552970,0,0,274158,0,0,5188113,1124214,0,693564,10894290,5658928,29025548,0,10040252,0,286930,4457877,19650049
minnesota,0,44433059,2147414,253181,19030336,3643708,0,66666,0,2150219,49641,720651,2227199,0,0,0,9836416,0,1091049,0,0,658556,0,228827,274162,0,0,3394088,0,0,574206,8344163,1829425,9985802,0,6740334,0,145758,0,4787344
mississippi,0,48015016,1074491,859268,3059021,447967,472080,66666,0,949959,5163092,836765,687232,0,0,0,15386896,0,0,0,0,915529,0,1253668,0,0,0,5405501,0,0,1723908,1829825,2538242,10848996,0,5193703,0,150000,0,7418518
missouri,0,58152090,1573317,1532662,17950990,86357,463165,66666,403990,0,1486254,1100009,2299886,0,4614292,0,18306451,0,0,0,0,986699,1235467,0,0,0,0,7960072,1430864,0,0,5500088,3079319,12714081,0,7169892,0,150000,0,8860652
montana,0,10052449,1043712,122685,43161992,3262098,0,66666,0,0,2741692,198425,393033,0,0,0,5653883,0,2090125,0,0,43968,0,0,0,0,0,4495074,0,0,0,1131715,871257,3483632,0,3649089,0,7870180,0,1682039
nebraska,0,16435563,5280675,323846,20508844,843194,0,66666,0,0,49800,276922,5233964,0,0,0,5653883,0,1005136,0,0,19496,0,0,0,0,0,3566615,878334,0,0,2634260,871257,3567071,0,4318452,0,150000,0,2439822
nevada,0,22502221,245298,255413,3798639,725830,0,133333,0,0,0,443175,0,0,90351,0,7046037,0,0,0,0,341802,0,0,350000,0,0,70605,3019336,0,0,9019735,1207913,3723933,0,4923542,0,14625391,0,3389978
new hampshire,0,9756103,151607,452184,4980,0,0,133333,0,0,0,179991,0,0,2947300,6823203,5653883,0,0,0,0,26611,0,0,0,0,0,2036817,0,0,0,937080,871257,3483632,0,3875823,0,150000,0,1470409
new jersey,0,82434485,2034202,2196932,10796341,36969,0,66666,0,0,720710,1321687,4994824,0,1191913,3665498,22811967,0,0,0,0,481219,2673372,683196,612726,0,0,1648123,0,0,0,20556638,2933645,16637114,0,9139615,0,82894,0,11064048
new mexico,0,27755670,954958,276471,101029882,6631246,894276,133333,1259374,0,3664297,505749,5951798,0,4555030,0,8653281,0,464346,0,0,143857,0,1929997,0,0,0,1656351,0,0,1011910,5030889,1383863,5765150,0,4505267,0,150000,0,4178928
new york,598790,280135793,10246996,2883473,32839383,1353216,0,66666,423753,13442775,13443954,5064155,17866909,0,32195344,0,95069053,6269636,0,0,0,3582096,4124671,1945792,4804994,9983395,0,3191839,1042892,0,2192249,53757900,9781450,59292065,0,15765500,0,298976,1197783,45906187
north carolina,0,96043041,5842357,1300945,19773247,3398332,461955,66666,0,0,6541266,1760579,5195491,0,118890,0,29257512,0,544258,0,0,679704,1356201,1766132,283960,0,0,6434252,0,0,1761344,15073450,5322092,16278173,0,9644744,0,117998,764903,14237736
north dakota,0,8130559,242404,75617,25323241,1681977,0,133333,0,0,0,163241,408627,0,0,0,5653883,0,925319,0,0,0,0,0,0,0,0,505746,0,0,0,999996,871257,3483631,0,3424063,0,150000,0,1313523
northern mariana islands,0,0,0,0,0,0,0,0,0,0,0,0,0,1023096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92190,0,0
ohio,0,146791305,2750805,1842457,3097534,0,0,66666,0,0,3740580,2582216,4202922,0,3938060,0,40590417,0,0,0,0,401289,1914937,3687457,0,0,0,5205573,0,0,0,8947422,6148589,27514183,0,11096071,0,120539,13615413,19582289
oklahoma,0,39550322,1590438,384079,45849502,23808705,0,66666,0,0,151053,687785,5419412,0,177000,2042795,12482020,0,1453489,0,0,823619,0,0,0,0,0,9952404,0,0,0,4251872,2131366,8441563,0,5680866,0,150000,283143,6036413
oregon,728032,37970582,10622190,1140475,3785948,2035365,1704986,0,847744,0,5601397,664393,1102409,0,226169,1577958,11264982,0,1067748,0,0,417511,0,0,0,0,0,2795347,4009062,0,0,8267313,1756721,7126954,0,5533264,0,150000,7891213,5816476
