region,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.184,84.186,84.196,84.206,84.215,84.256,84.282,84.287,84.299,84.304,84.318,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.370,84.374,84.377
massachusetts,0,233082993,1657791,1912853,841317,72045,0,32202,0,6695654,5402940,1061481,0,20958108,0,10743562,17047528,0,0,4245322,208984,0,1493977,1201565,0,0,1426703,0,0,11684039,2359919,51755964,0,7696917,0,3134744,10125870
michigan,735981,527171801,8760814,1036812,7022073,3057656,461348,43547,0,3159792,10797877,2371184,0,2851088,0,525000,37698633,0,0,9777188,67532,0,0,0,0,0,4105545,0,0,9856302,5644380,112109766,0,11071168,0,0,22642257
minnesota,0,126688012,1717524,203358,15859439,3374042,0,73321,0,5604684,3935361,577611,80962,7207391,0,4236825,9333801,356370,0,2337647,0,0,0,0,0,0,3402410,0,0,8163974,1603816,38482785,1523907,7033188,0,0,5560952
mississippi,0,186189437,626171,687264,2060187,346303,878656,27413,0,795694,3526788,819038,0,6305024,0,0,13910417,0,0,3400167,144300,0,0,0,0,0,5941440,0,0,1343086,2655662,42346798,0,5444802,0,0,7668325
missouri,0,221169872,1558112,1360759,22411284,76602,400307,106758,0,125984,5169062,1043455,0,6314722,0,334714,16437985,0,0,3876498,3009086,0,0,0,0,0,8567905,0,0,4173905,3116959,50977867,0,7590619,0,0,9897519
montana,0,43554773,978795,115118,44589302,3287056,0,179264,0,1e+05,1423348,198369,0,2316270,0,0,5312714,3797113,0,1294335,1828714,0,0,0,0,0,4799264,0,0,899043,890414,13962161,0,3713659,0,0,1892701
nebraska,0,60245901,5242894,300603,20566053,826735,0,111932,0,3679574,1423348,281886,0,4437133,0,0,5313082,769600,0,1294335,16956,0,0,0,0,0,4332743,0,0,2859831,890414,14263975,0,4407681,0,0,2834778
nevada,0,80754699,230345,328928,4202543,660693,0,178216,0,0,1423348,380461,0,2674399,0,150000,6584908,0,0,1525710,139973,0,0,0,0,0,139901,0,0,7312350,1073276,15467755,1683765,5070705,0,0,3628451
new hampshire,0,38143897,146208,399863,12623,0,0,168502,0,0,1423348,174248,0,133412,0,305000,5313082,0,0,1294335,2164,0,0,0,0,0,2106096,0,0,748324,890414,13942979,1716494,3992570,0,0,1660766
new jersey,0,286765181,2081716,2614578,16057174,47149,0,13903,0,778726,6940699,1299883,0,7421765,0,4243507,20228520,0,0,5212744,4325720,3235974,0,218509,0,0,1934696,0,0,18689980,3018806,65311095,0,9706321,0,0,12348179
new mexico,0,113156234,889073,256480,96445189,7042701,1100519,179138,419096,897128,2226011,523227,0,8826627,0,7564190,9450527,0,0,2098225,80244,0,0,0,0,0,1943168,0,0,6398540,1511150,22988611,0,4581141,0,656597,4928462
new york,629394,1226786099,9707220,2882745,18698722,1753886,0,118173,0,8069283,22303963,5431553,1159653,42624380,0,16589561,100451887,0,4447913,21781418,8462316,4823191,3826036,375980,8300000,0,3140461,0,0,52154175,10867365,227484225,0,17313693,0,10861735,11562307
north carolina,0,358570325,5874881,1096720,16146344,3501170,0,57596,0,2782387,6610231,1685453,755813,8848427,0,175100,24572112,548338,0,6737288,2250720,0,587151,0,0,0,6526790,0,0,14734530,5265047,67983418,0,10030709,0,2115688,15855967
north dakota,0,33684683,226940,83597,28079209,1690864,0,178211,0,0,1423348,160167,0,1912098,0,0,5313082,737891,0,1152609,0,0,0,0,0,0,544242,0,0,518416,772874,13986932,0,3457530,0,0,1407907
northern mariana islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2941537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ohio,0,511796517,2534982,2259752,2903873,0,0,108119,0,1119366,10502817,2359904,640934,17032022,0,0,36795125,0,0,9463599,124861,9153877,0,0,0,0,4458325,0,0,7855389,5902883,107784210,0,11968326,0,4239063,22271393
oklahoma,0,148405592,1075989,235479,43739614,22160659,0,106054,0,3186584,3497685,692479,0,8139219,0,0,10085395,434624,0,2776952,0,0,0,0,0,0,11050072,0,0,3686871,2209464,33969928,0,5840560,0,463665,6453436
oregon,712000,139986895,9822088,1166924,2720782,1997070,2134425,45000,731370,0,2793062,653191,0,4080509,0,9500000,9765111,1916769,0,2618342,1607036,0,0,0,0,0,2644497,0,0,7847486,1818976,28900179,0,5787861,0,0,6544105
palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3035003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pennsylvania,0,565517553,9309914,1097232,2837822,0,0,117641,801039,2347758,11462580,2606784,0,16894994,0,8e+06,42293524,82477,0,10453630,196610,0,1807045,525098,0,0,1311280,0,0,11382763,5586114,115223435,0,12151657,0,3336958,24848962
